Tip,chinese_name,episode,movie_name,ranking,score,score_num,summary
"
24话 / 2014年10月9日 / 水島努 / 武蔵野アニメーション / 関口可奈味 ",白箱,24,SHIROBAKO,11,8.8,(8721人评分),本作的故事主要围绕追逐梦想的五名女生——宫森葵、安原绘麻、坂木静香、藤堂美沙、今井绿展开，是一部描写以白箱的完成为目标而奋斗的她们，每天遇到的麻烦以及策划工作时碰到的纠葛与挫折，还有制作组在制作作品时的团结和冲突的动画业界的日常的群像剧作品。 
"
51话 / 2011年4月4日 ",银魂',51,銀魂',12,8.8,(7829人评分),在2011年4月进行电视动画的第二期播放，集数承接第一期，从第202话开始。第二期动画标题做了小改动。以《银魂'》做为新标题，即在原标题的魂字右上角加了一点。
"
164话 / 1940年2月10日 / William Hanna (1940–58) Joseph Barbera (1940–58 / 2005) Gene Deitch (1961–62) Chuck Jones (1963–67) Maurice Noble (1964–67) Abe Levitow (1965–67) Tom Ray (1966–67) Ben Washam (1966–67) ",猫和老鼠,164,Tom and Jerry,13,8.8,(3492人评分),"Tom and Jerry is an American animated series of short films created in 1940 by William Hanna and Joseph Barbera. It centers on a rivalry between its two main characters, Tom Cat and Jerry Mouse, and many recurring characters, based around slapstick comedy.,
,
In its original run, Hanna and Barbera produced 114 Tom and Jerry shorts for Metro-Goldwyn-Mayer from 1940 to 1957. During this time, they won seven Academy Awards for Animated Short Film, tying for first place with Walt Disney's Silly Symphonies with the most awards in the category. After the MGM cartoon studio closed in 1957, MGM revived the series with Gene Deitch directing an additional 13 Tom and Jerry shorts for Rembrandt Films from 1960 to 1962. Tom and Jerry then became the highest-grossing animated short film series of that time, overtaking Looney Tunes. Chuck Jones then produced another 34 shorts with Sib-Tower 12 Productions between 1963 and 1967. Two more shorts were produced, The Mansion Cat in 2001 and The Karate Guard in 2005, for a total of 163 shorts. Various shorts have been released for home media since the 1990s.,
,
A number of spin-offs have been made, including the television series The Tom and Jerry Show (1975–77), The Tom and Jerry Comedy Show (1980–82), Tom & Jerry Kids (1990–94), Tom and Jerry Tales (2006–08), and The Tom and Jerry Show (2014-present). The first feature-length film based on the series, Tom and Jerry: The Movie, was released in 1992 before ten direct-to-video films were produced between 2002 and 2013.,
,
Numerous Tom and Jerry shorts have been subject to controversy, mainly over racial stereotypes which involves the portrayal of the recurring black character Mammy Two Shoes and characters appearing in blackface. Other controversial themes include cannibalism and the glamorization of smoking."
"
101话 / 1993年10月16日 / 井上雄彦 ",灌篮高手,101,スラムダンク,14,8.8,(5631人评分),"　　樱木花道，湘北高校一年级生。在初中有被50个女生连续抛弃的历史。因第50个女生的一句“我喜欢的是篮球队的小田同学。”而对篮球深恶痛绝。上高中不经意被美少女赤木晴子的一句：“你喜欢篮球吗？”又燃起希望。为得到晴子的芳心，花道不顾一切的加入篮球队，并以惊人的速度进步。,
　　在湘北篮球队中，队长赤木刚宪是一位一直因无良好队友而无法出人头地的DUNK高手。然而在这一年初中时已是篮球高手的流川枫，大病初愈的宫城良田，曾误入歧途的初中时MVP三井寿加入湘北篮球队，使赤木队长的称霸全国不再只是梦想。在县大赛时，赤木刚宪，流川枫，宫城良田，三井寿和新手樱木花道通力合作，终于拿到全国大赛的入场券。"
"
110话 / 1988年1月8日 / 田中芳樹 / 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～) ",银河英雄传说,110,銀河英雄伝説,15,8.8,(1142人评分),"提醒：剧情简介包含了银河英雄传说ova版的全部内容，如担心剧透，请谨慎阅读和避免点击展开选项,
------------------------------,
　　《银河英雄传说》的时间设定约在距今一千六百年后，范围约扩及全银河系的五分之一。当时宇宙中存在着两大势力，分别是专制的“银河帝国”，和由逃出帝国的共和主义者建立的“自由行星同盟”。 帝国视同盟为“边境叛徒的根据地”，同盟则将帝国当作“邪恶的黑暗专制势力”，彼此水火不容，持续了长达二百多年的战争。在两国领域之间，充满了不利宇宙航行的异常重力场，使得两国间的通道，只有著名的“费沙回廊”和“伊谢尔伦回廊”。伊谢尔伦回廊有着难攻不落的强大军事要塞，而在费沙回廊中，是介于两大势力间的半独立国——“费沙自治领”。因此整个宇宙就在专制的高登巴姆王朝银河帝国和崇尚自由、自主、自尊、自律的自由行星同盟及以经济、情报生存的费沙三方平衡之下运转着。,
　　终于，双方各出现了一位年轻的英雄：帝国的莱因哈特·冯·罗严克拉姆，和同盟的杨威利。历史的车轮开始转动了。两人带动整个银河的局势急剧的变化着，他们和同时代涌现出的许多优秀的将士们一起，展开了一连串精采纷呈的战役。 莱因哈特在掌握政军大权后，击败了帝国内大贵族的势力，完成许多平民期待中的改革，并利用帝国皇帝挟持事件，正式向同盟宣战，而第一步即是拿下费沙。大军避开有着强敌及强大要塞的伊谢尔伦回廊，取道费沙向同盟进攻。虽然同盟军在杨威利的巧妙指挥下，取得了战术上的胜利，但就在杨威利即将击毁莱因哈特的旗舰时，自由行星同盟被逼宣布投降，在帝国的主宰下维持着屈辱的政权。,
　　不久，由于同盟政府的自作聪明，想先杀了已退役的杨威利来讨好帝国驻同盟高等事务官，终致引发了一连串的动乱。杨威利在旧部下的营救下成功逃出，并联合艾尔·法西尔自治政府，重新夺回伊谢尔伦要塞。而莱因哈特则正式率军灭亡同盟，接着便进攻伊谢尔伦要塞。双方在伊谢尔伦回廊大战，因莱因哈特病倒而休兵和谈，而杨威利在前往和谈的路上不幸遭到地球教暗杀。其妻格林希尔接任他政治上的职务，而其养子尤里安·敏兹接任其军事上的职务，继续杨未竟的事业。接着，帝国重臣，新领土总督罗严塔尔元帅被逼反叛莱因哈特。与他并称“帝国双璧”的挚友米达麦亚奉命领军讨伐，罗严塔尔身亡。莱因哈特为了一统全宇宙而再次举兵进攻伊谢尔伦回廊。尤里安经过艰苦的战斗终于获得了和皇帝莱因哈特谈判的机会，以归还伊谢尔伦为代价换取原同盟首都星系的内政自治权，保留下了民主的火种。而莱因哈特也在不久之后病逝。,
　　《银河英雄传说》的视点不仅仅限于描写以莱因哈特和杨威利为代表的英雄人物的传奇，更向广大读者提出了一个令人深思的问题：宇宙中是否存在独一无二的真理？“清廉的专制”与“腐败的民主”之间，何去何从？这使得这部作品超越一般奇幻作品常见的“善与恶的争斗”的主题，而有了更加深邃的内涵。在历史的洪流之中，各种不同价值观的碰撞，构成了银英这部史诗的主旋律。"
"
201话 / 2006年4月4日 / 高松信司 / 空知英秋 / 竹内進二 ",银魂,201,銀魂,16,8.8,(7321人评分),"　　江户时代末期（本作的20年前）, 被称为“天人（あまんと）”的谜之异星人来袭。于是地球人与天人之间的战争瞬即爆发，为数众多的武士和攘夷派志士都参与与天人的战斗，幕府见识到天人强大的实力后，最终向天人低头，放弃武士不管，擅自与天人签订不平等条约，准许他们入国。其后更颁布了“废刀令”，夺走了武士的刀，使他们无力反抗。自此，天人横行霸道，幕府为天人所影响，甚至被控制，成为了“傀儡政权”。在这样的时代，有一个武士与同伴愉快地过著异想天开的生活。"
"
26话 / 2005年10月22日 / 長濵博史 / 漆原友紀 / 馬越嘉彦 ",虫师,26,蟲師,17,8.7,(6039人评分),"这里的虫既不是动植物，也与微生物和菌类不同，是更接近生命原生态的东西。这些东西总称为“虫”。它们的形态和存在都很暧昧，当人与虫的世界重叠之时，发生了超越人类智慧的怪异现象，此时人类才开始知道它们的存在。 ,
所谓生命，并非为威胁异己而存在。只是，各自以各自的形态存在着——作为连接这样的”虫“与人类的”虫师“--主人公银古，在旅途中不断与各种各样的人及与其关联的虫相遇。绘就了每话登场人物各不相同，读不尽的画卷。"
"
10话 / 2019年4月28日 / 諫山創（別冊少年マガジン連載／講談社） ",进击的巨人 第三季 Part.2,10,進撃の巨人 Season 3 Part.2,18,8.7,(3905人评分),
"
1话 / 2004年3月6日 / 押井守 ",攻壳机动队2 无罪,1,イノセンス,19,8.7,(3062人评分),"故事发生在不远的将来，那时科学技术相当发达，出现了纳米机械和生物电脑，Cyborg义体开始全面普及，整个世界由光和电子连接，人脑也可以直接联入网络。,
主人公是专门打击恐怖犯罪的政府直属机关公安九课的刑警巴特。巴特其实也是一个机械化了的人类，他的四肢以及大部分身体都是人造机械代替品。在他的大脑中仅残留微薄的人间记忆，那个叫“素子”的女孩总是浮现在他的脑海中，怎么忘也忘不掉。,
某天，一个少女型的玩偶机器人突然失控，杀害了拥有她的主人。“为人类服务而制造的机器人，为什么反过来袭击人类？”为了弄清除原因，巴特和搭档德古沙立即展开调查。进入电脑网络后，巴特的“脑”不断受到无名黑客的攻击，他也在艰难中，一步步接近事情的真相……"
"
1话 / 1998年2月28日 / 今敏 / 竹内義和 ",蓝色恐惧,1,PERFECT BLUE,20,8.7,(3299人评分),雾越未麻是流行音乐偶像团体“CHAM!”中的成员之一，但是在公司的决策下，她开始转型为演员。但她却感觉内心有个声音在拒绝自己的选择，而未麻的一些歌迷也反对这个决定。随着越来越多电视剧的演出，未麻却觉得自己的头脑越来越奇怪，仿佛有“另一个自己”正在形成。这时，她身边的工作人员竟一个个接连被杀。在面对社会压力和疑云之际，未麻感到越来越混乱…
"
1话 / 2009年6月27日 ",福音战士新剧场版：破,1,ヱヴァンゲリヲン新劇場版:破,21,8.6,(6648人评分),在参拜母亲坟墓的回程途中，真嗣和葛城美里遭遇了第七使徒的攻击，关键时刻2号机势如破竹挫败对手，真嗣也由此结识了2号机的操纵者式波·明日香·兰格蕾，与沉默寡言的绫波丽不同，明日香自信张扬，甚至有些自大，在和真嗣相处的日子里，彼此闹出不少的笑话，他们三人分别驾驶着零号机、初号机和2号机，抵抗了第八使徒猛烈的攻击，在这一过程中，淡淡的情愫悄然在这三个青年男女的心中萌生，不久后，第九、十使徒相继降临，真嗣他们面临着生与死的残酷考验。
"
1话 / 2010年2月6日 / 武本康弘 / 谷川流 / 池田晶子 ",凉宫春日的消失,1,涼宮ハルヒの消失,22,8.6,(9472人评分),转眼间经已12月18日，凉宫春日期待已久的圣诞节即将来临。SOS团火锅派对的活动拍板以后，阿虚就带着烦恼回家。第二天，阿虚如常上学，但他很快注意到，学校发生了与平日完全不同的事。应该在后面的座位的凉宫春日不在，却换上了理应让长门有希消灭了的朝仓凉子……
"
27话 / 2007年4月1日 / 今石洋之 / GAINAX / 錦織敦史 ",天元突破 红莲螺岩,27,天元突破グレンラガン,23,8.6,(5772人评分),"这是一个被命运背叛的男人，战斗、继续战斗、不断战斗的热血故事。,
日复一日，地下村庄基哈村的少年西蒙始终拿着钻头挖掘，并习以为常。但是，西蒙的好友，被称为“大哥”的卡米那终日叫嚣着所谓地上的世界。“穿破天际，到地上的世界去看一看吧”卡米那每日这样想着。但一直未能成功。直到一天，巨大的机械怪物——“颜面”打破村子的天井，进入村子破坏。确认了地上世界的存在，卡米那热情高涨，与地上来的少女优子、小弟西蒙三人一起对抗颜面，并驾驶西蒙意外挖出的机械——“螺岩”冲出了天井，达到了地上的世界！,
地球表面展现在少年少女面前，但其实地表上有更多的“颜面”，不断战斗的冒险故事就此展开。西蒙的未来，以任何人都无法想象的方向展开。"
"
10话 / 2017-04-01 / Justin Roiland、Dan Harmon ",瑞克和莫蒂 第三季,10,Rick and Morty Season 3,24,8.6,(1048人评分),　　Adult Swim频道续订旗下超高收视动画片《瑞克和莫蒂》（Rick and Morty）第三季。
"
1话 / 1993年8月7日 / 押井守 ",机动警察 和平保卫战,1,機動警察パトレイバー 2 the Movie,25,8.7,(943人评分),"若干年前，陆上自卫队某战车小队在东南亚某处遭遇袭击，除队长柘植行人外，全军覆没。,
时间又回到今天，海湾大桥突然爆炸，民间一度陷入恐慌。一位名叫荒川茂树，自称是自卫队调查部的人找到后藤与南云，告诉他本次事件的真实情况是由不明身份的战斗机发射导弹袭击大桥所致，同时他认为已经失踪许久的柘植行人是最大的嫌疑犯。正当后藤他们拜托松井协助调查的时候，日本各地却纷纷出现空袭的虚假警报，其目的大都是东京圈。为此军队与警察等部门也陷入了彼此对立、不知所措的困境中。为了防范未然，政府调动部分忠于自己的自卫队进驻东京。,
在松井不懈的努力下，终于查到柘植行人的蛛丝马迹，南云亦已察觉到这个昔日的恋人正是此次动乱的策划人。不过由于荒川的参入，柘植行人没有再与南云接触，他彻底消失在了夜幕中。,
恐怖的前兆终于发生：东京的通讯系统突然完全瘫痪，驻扎在市内各处的部队也变成了如盲人般，根本无法有效行动。而此时，满载着毒气的巨大飞艇正在接近这个不设防的城市....."
"
1话 / 2001年7月20日 / 宮崎駿 ",千与千寻,1,千と千尋の神隠し,26,8.6,(9357人评分),"年仅10岁的荻野千尋是一个看起来非常普通的四年级小学生，她随父母搬家来到一个陌生的城镇准备开始一个全新的生活。然而，因为途中迷路，她和父母误闯入了一个人类不应该进入的灵异小镇。小镇的主管是当地一家叫“油屋”的澡堂的巫婆：湯婆婆；而“油屋”则是为服侍日本八百万天神洗澡的地方。镇上有一条规定，在镇上凡是没有工作的人，都要被变成猪被吃掉。,
,
千尋的父母由于贪吃，未經過店員容許就隨便觸碰食物，而遭到惩罚变成了猪。千尋为了拯救父母，在汤婆婆的助手「珀」（ハク，台灣上映時譯為「白龍」）的帮助下，进入澡堂，并成功的获得了一份工作。作为代价，她的名字被汤婆婆拿掉了筆劃太多的名字，成了“千”（台灣片中稱為「小千」）。在澡堂工作的过程中，小千从一个娇生惯养，什么活都不会做的小女孩，逐渐成长，变得越来越坚强能干；同时，她善良的品格也开始得到了澡堂中其他的尊重，而她和白龙之间也萌生出一段纯真的感情。,
,
而为了拯救父母和对自己重要的人，面对各种困难和危险，千尋也一次次做出了自己的选择。而影片也随着她的心理变化历程而展开。,
,
简介来源于：http://zh.wikipedia.org/wiki/%E5%8D%83%E4%B8%8E%E5%8D%83%E5%AF%BB"
"
1话 / 2001年7月28日 (Fantasia International Film Festival)、2002年9月14日 (日本) / 今敏 / 本田雄、今敏 ",千年女优,1,千年女優,27,8.6,(4372人评分),"风靡日本的女明星藤原千代子，三十年前当红之际，突然从银幕消声匿迹。,
三十年后，千代子的影迷费尽千辛万苦，终于在人烟稀少的寂静山庄中，找到了隐居数十年的她，并献上了一把千代子当年不慎遗失的神秘钥匙。,
神秘钥匙宛若开启了记忆之门，引领千代子划入回忆的大海，挖掘出一段她从不为人知的爱情故事。那故事像是从千代子辉煌年代的河流溢出，一路流向她无数的电影与映像汇集而成的海洋；也像从遥远的战国时代奔驰而来，再闯进无边无际的时空未来。,
而倾听入神的影迷，则随着千代子在记忆的逆流波谷间摆荡，体验她那令人怜惜的悲欢爱情；更在波涛汹涌的时空浪潮中，猛然惊觉到那股横亘千年的浓绵相思，神秘钥匙开启被千代子封锁隐藏了的记忆，解开了她的重要秘密。那正是在无情的时间洪流里，当记忆与爱情最灿烂交会时，所浮现出最真实且永恒的一代巨星千代子。"
"
25话 / 2011年4月6日 / 佐藤卓哉、浜崎博嗣、小林智樹(第25話) / 5pb./Nitro+ / 坂井久太 ",命运石之门,25,STEINS;GATE,28,8.6,(13680人评分),故事发生在「CHAOS;HEAD」的“涩谷崩坏”事件一年半之后的世界，而舞台则从涩谷转移到了秋叶原。主角冈部伦太郎是一位深度中二病的大学生，时常幻想自己身肩重任，并自称“狂气的疯狂科学家・凤凰院凶真”，不过说到底其作为不过就是在名为“未来道具研究所”中与两个伙伴开发着奇奇怪怪又不切实际的东西。然而，这样的他们却在偶然间发明出可以把电子讯息传送过去的时间机器。在他们对未来及过去知道得越多的同时，却不知道危难正渐渐临到自己身上……
"
14话 / 2008年1月7日 / 佐藤順一 / 天野こずえ / 古賀誠 ",水星领航员 第三季,14,ARIA The ORIGINATION,29,8.6,(1299人评分),"プリマ・ウンディーネを夢見る少女、水無灯里。,
「ARIA」シリーズは、灯里をはじめウンディーネたちの日常を情感豊かに描いた、,
未来形ヒーリングアニメーション。,
待望のサードシーズン「ORIGINATION」のテーマは『始まり』。,
これまで修業に励んできた灯里たちにも、新しい変化が訪れようとしています。,
ARIAの物語を紡いできた佐藤順一監督を始めとするスタッフとキャストはそのままに、ＡＲＩＡを愛する皆さんに未来へ繋がる新しい素敵をお届けします。"
"
10话 / 2014年10月18日 / 長濵博史 / 漆原友紀 / 馬越嘉彦 ",虫师 续章 第2期,10,蟲師 続章 第2クール,30,8.6,(1873人评分),
"
10话 / 2015-07-26 / Justin Roiland、Dan Harmon ",瑞克和莫蒂 第二季,10,Rick and Morty Season 2,31,8.6,(1118人评分),       疯子科学家Rick Sanchez在失踪20年之后突然回到女儿Beth的生活中，并且在她的车库中开了一个商店。更糟的是，Rick总是将他的孙子Morty和孙女Summer「拖」进他的疯狂实验。每当他发明一个充满科幻色彩的小玩意之后，Morty就会用他独特的方式给家中添一份乱。二人总是闯着不同的祸，有着啼笑皆非的结局和编剧无比巧妙的剧情安排。每看完一集总让人拍案叫好。该剧情内容充满奇妙的科幻素材，在各种不同的平行世界下祖孙二人闯出来的事件，看似荒诞可笑，实质上却充满了对人性和社会的思考。
"
26话 / 2004年5月19日 / 渡辺信一郎 / Manglobe / 中澤一登 ",混沌武士,26,サムライチャンプルー,32,8.5,(4102人评分),"　　茶居屋里、代官的儿子和随从正在欺负客人，这时候进来一位全身充满野兽气息的流浪武士。在茶居屋工作的风被故意拌倒、茶泼到随从的身上，代官儿子正要砍掉风的手指的时候被无幻救下。另一方面、仁看不惯代官恶意欺压乡民，教训了代官一顿。其后仁在茶居屋碰到正在教训代官儿子的无幻，被无幻当作代官的手下高手而对打了起来。在一阵激烈的打斗后两人不分上下，这时茶居屋被人放火、无幻和仁在火中继续打斗直到失去意识。,
　　两人醒来的时候、已经被代官抓住，两人被施加酷刑并定在次日被斩首。晚上风想办法去救他们，但是由於钥匙被不小心弄断了而失败。第二天行刑时、无幻和仁挣脱捆绑杀了代官，但是在重重包围下渐渐体力不支。风适时的利用烟火成功帮助两人逃脱。,
　　刚逃出重围的无幻和仁准备分个高低但被风阻止。在投硬币后无幻和仁不得不陪风去寻找“有向日葵味道的武士”，三人的旅程至此开始。"
