Tip,chinese_name,content,episode,movie_name,ranking,score,score_num,summary
164话/1940年2月10日/WilliamHanna(1940–58)JosephBarbera(1940–58/2005)GeneDeitch(1961–62)ChuckJones(1963–67)MauriceNoble(1964–67)AbeLevitow(1965–67)TomRay(1966–67)BenWasham(1966–67),猫和老鼠,黑猫警长是一部国产的日本卡通片，它讲述了一只叫Tom的猫，一只叫Jerry的老鼠，以及一个看不见头的身体之间发生的故事。有一点需要事先声明，我绝不会因为一部日本卡通片是国产的就无故讨厌它，实际上，我有许多非常喜欢的国产日本卡通片，但这部黑猫警长实在是我看过最...,164,Tom and Jerry,12,8.8,3493,"TomandJerryisanAmericananimatedseriesofshortfilmscreatedin1940byWilliamHannaandJosephBarbera.Itcentersonarivalrybetweenitstwomaincharacters,TomCatandJerryMouse,andmanyrecurringcharacters,basedaroundslapstickcomedy."
101话/1993年10月16日/井上雄彦,灌篮高手,DAY6让你结识了很多同好的动画银魂介绍：出品时间2006年4月，监督高松信司、藤田阳一、宫胁千鹤，系列构成大和屋晓，原作空知英秋，制作公司SUNRISE。背景是平行时空中被宇宙人入侵并殖民的江户，主角是一头银色天然卷喜爱甜食的废柴武士坂田银时，为了复兴家中道场而外出...,101,スラムダンク,13,8.8,5631,樱木花道，湘北高校一年级生。在初中有被50个女生连续抛弃的历史。因第50个女生的一句“我喜欢的是篮球队的小田同学。”而对篮球深恶痛绝。上高中不经意被美少女赤木晴子的一句：“你喜欢篮球吗？”又燃起希望。为得到晴子的芳心，花道不顾一切的加入篮球队，并以惊人的速度进步。
51话/2011年4月4日,银魂',空知英秋就是个大傻逼（与作品无关，单纯的认为猩猩的作为一个漫画家的人品差到了极点，人家jump给你那么多次完结的宣发资源，那不是钱吗，次次都搞完结欺诈，而且漫画后期无非也就打完后鸡汤几句这种老套路，我真的已经审美疲劳了，最后活该转到了专门的银魂app上连载，我只能...,51,銀魂',14,8.8,7829,在2011年4月进行电视动画的第二期播放，集数承接第一期，从第202话开始。第二期动画标题做了小改动。以《银魂'》做为新标题，即在原标题的魂字右上角加了一点。
110话/1988年1月8日/田中芳樹/本木久年(1期)、久米一成(2期)、清水恵蔵(3期～),银河英雄传说,(bgm38),110,銀河英雄伝説,15,8.8,1143,提醒：剧情简介包含了银河英雄传说ova版的全部内容，如担心剧透，请谨慎阅读和避免点击展开选项
201话/2006年4月4日/高松信司/空知英秋/竹内進二,银魂,DAY6让你结识了很多同好的动画银魂介绍：出品时间2006年4月，监督高松信司、藤田阳一、宫胁千鹤，系列构成大和屋晓，原作空知英秋，制作公司SUNRISE。背景是平行时空中被宇宙人入侵并殖民的江户，主角是一头银色天然卷喜爱甜食的废柴武士坂田银时，为了复兴家中道场而外出...,201,銀魂,16,8.8,7321,"江户时代末期（本作的20年前）,被称为“天人（あまんと）”的谜之异星人来袭。于是地球人与天人之间的战争瞬即爆发，为数众多的武士和攘夷派志士都参与与天人的战斗，幕府见识到天人强大的实力后，最终向天人低头，放弃武士不管，擅自与天人签订不平等条约，准许他们入国。其后更颁布了“废刀令”，夺走了武士的刀，使他们无力反抗。自此，天人横行霸道，幕府为天人所影响，甚至被控制，成为了“傀儡政权”。在这样的时代，有一个武士与同伴愉快地过著异想天开的生活。"
26话/2005年10月22日/長濵博史/漆原友紀/馬越嘉彦,虫师,虫师的故事没有主线只是从银古的视角围绕着“虫”这一架空概念去展开一个世界展开各种各样的人的一生每个单元剧的主角都有着自己的世界对家庭的理解对朋友的理解对梦想的理解对世界的理解以及对自己的理解这些不同既与环境相关又会体现在环境上...,26,蟲師,17,8.7,6040,这里的虫既不是动植物，也与微生物和菌类不同，是更接近生命原生态的东西。这些东西总称为“虫”。它们的形态和存在都很暧昧，当人与虫的世界重叠之时，发生了超越人类智慧的怪异现象，此时人类才开始知道它们的存在。
1话/2004年3月6日/押井守,攻壳机动队2 无罪,最近没事，又把鸭子的几乎所有的动画电影看了一遍。再结合关于鸭子的纪录片，对谈还有机动警察的演出笔记，对鸭子为什么能在动画领域取得极大成就，但是在实拍电影领域却屡屡受挫有了点新的看法。个人觉得不是鸭子本身作为导演的水平不行，最关键的还是电影观的问题。这...,1,イノセンス,19,8.7,3063,故事发生在不远的将来，那时科学技术相当发达，出现了纳米机械和生物电脑，Cyborg义体开始全面普及，整个世界由光和电子连接，人脑也可以直接联入网络。
1话/1998年2月28日/今敏/竹内義和,蓝色恐惧,剧透警告！！！！(=///=)(=///=)(=///=)(=///=)(=///=)(=///=)(=///=)(=///=)---------------------------------------------------------------------------------------------------------------------------------------------------------------------------...,1,PERFECT BLUE,20,8.7,3299,雾越未麻是流行音乐偶像团体“CHAM!”中的成员之一，但是在公司的决策下，她开始转型为演员。但她却感觉内心有个声音在拒绝自己的选择，而未麻的一些歌迷也反对这个决定。随着越来越多电视剧的演出，未麻却觉得自己的头脑越来越奇怪，仿佛有“另一个自己”正在形成。这时，她身边的工作人员竟一个个接连被杀。在面对社会压力和疑云之际，未麻感到越来越混乱…
1话/2009年6月27日,福音战士新剧场版：破,EVA这部作品的诞生不是偶然，不知怎么的我这么认为。很多年以后才开始真正有些理解EVA，然后对明日香无比心疼。旧版绝望满溢，却没有放弃救赎的、仿佛自虐一样的世界末路感觉。那时候的庵野秀明给我一种宁愿毁掉也不妥协的感觉。而他又是多么幸福……无论新版...,1,ヱヴァンゲリヲン新劇場版:破,21,8.6,6648,在参拜母亲坟墓的回程途中，真嗣和葛城美里遭遇了第七使徒的攻击，关键时刻2号机势如破竹挫败对手，真嗣也由此结识了2号机的操纵者式波·明日香·兰格蕾，与沉默寡言的绫波丽不同，明日香自信张扬，甚至有些自大，在和真嗣相处的日子里，彼此闹出不少的笑话，他们三人分别驾驶着零号机、初号机和2号机，抵抗了第八使徒猛烈的攻击，在这一过程中，淡淡的情愫悄然在这三个青年男女的心中萌生，不久后，第九、十使徒相继降临，真嗣他们面临着生与死的残酷考验。
1话/2010年2月6日/武本康弘/谷川流/池田晶子,凉宫春日的消失,更长一点的标题：《消失》古泉削苹果的演出意图分析以及与《少革》第五集类似场景的对比《消失》古泉在阿虚的病床旁一边与阿虚聊天一边削苹果一段十分漫长，B站弹幕将古泉的削苹果的行动看作是Staff为了不使对话显得无聊而设计的人物小动作，但就Staff在削苹果的...,1,涼宮ハルヒの消失,22,8.6,9471,转眼间经已12月18日，凉宫春日期待已久的圣诞节即将来临。SOS团火锅派对的活动拍板以后，阿虚就带着烦恼回家。第二天，阿虚如常上学，但他很快注意到，学校发生了与平日完全不同的事。应该在后面的座位的凉宫春日不在，却换上了理应让长门有希消灭了的朝仓凉子……
27话/2007年4月1日/今石洋之/GAINAX/錦織敦史,天元突破 红莲螺岩,当反螺旋族说是西蒙改变了你的时候，我不禁想说，不，不是这样的。不是西蒙改变了妮娅而是妮娅拯救了西蒙，而妮娅从未改变。从一开始妮娅就是那边的坚毅勇敢，从她对父亲的提问开始，妮娅开始不断的探索前进。而她在明白了父亲的所作所为时，她也毫不迷茫的前进了就像一个真...,27,天元突破グレンラガン,23,8.6,5772,这是一个被命运背叛的男人，战斗、继续战斗、不断战斗的热血故事。
1话/1993年8月7日/押井守,机动警察 和平保卫战,最近没事，又把鸭子的几乎所有的动画电影看了一遍。再结合关于鸭子的纪录片，对谈还有机动警察的演出笔记，对鸭子为什么能在动画领域取得极大成就，但是在实拍电影领域却屡屡受挫有了点新的看法。个人觉得不是鸭子本身作为导演的水平不行，最关键的还是电影观的问题。这...,1,機動警察パトレイバー 2 the Movie,24,8.7,943,若干年前，陆上自卫队某战车小队在东南亚某处遭遇袭击，除队长柘植行人外，全军覆没。
25话/2011年4月6日/佐藤卓哉、浜崎博嗣、小林智樹(第25話)/5pb./Nitro+/坂井久太,命运石之门,"近日重温了一下这部作品，意外地有些新颖而自己看来绝妙的想法，虽是戏言但也笔录于此。(bgm118)（透，慎）——关于父亲。""他封起了一个个炉子，研究永远无从捉摸的火的实质，感受着冬天火焰的盐味和金属味，还有烟气味，感受着那些舐着烟囱出口的闪亮的煤烟火蛇的阴凉的抚...",25,STEINS;GATE,27,8.6,13683,故事发生在「CHAOS;HEAD」的“涩谷崩坏”事件一年半之后的世界，而舞台则从涩谷转移到了秋叶原。主角冈部伦太郎是一位深度中二病的大学生，时常幻想自己身肩重任，并自称“狂气的疯狂科学家・凤凰院凶真”，不过说到底其作为不过就是在名为“未来道具研究所”中与两个伙伴开发着奇奇怪怪又不切实际的东西。然而，这样的他们却在偶然间发明出可以把电子讯息传送过去的时间机器。在他们对未来及过去知道得越多的同时，却不知道危难正渐渐临到自己身上……
1话/2001年7月28日(FantasiaInternationalFilmFestival)、2002年9月14日(日本)/今敏/本田雄、今敏,千年女优,bilibili.com/video/av328082286动漫：千年女優【bgm.tv/subject/840】BGM：PianoMaster-EasternIslandpan.baidu.com/s/1wpGs3FkhF2H-6h9ogmlbNw2333,1,千年女優,28,8.6,4372,风靡日本的女明星藤原千代子，三十年前当红之际，突然从银幕消声匿迹。
14话/2008年1月7日/佐藤順一/天野こずえ/古賀誠,水星领航员 第三季,感兴趣可以自行制作，附带模板一张aria,14,ARIA The ORIGINATION,29,8.6,1299,プリマ・ウンディーネを夢見る少女、水無灯里。
10话/2015-07-26/JustinRoiland、DanHarmon,瑞克和莫蒂 第二季,S01E01http://www.bilibili.com/video/av882412/#team14doomS01E02http://www.bilibili.com/video/av885387/#team14doomS01E03http://www.bilibili.com/video/av892094/#team14doomS01E04http://www.bilibili.com/video/av913513/#team14doomS01E05h...,10,Rick and Morty Season 2,30,8.6,1120,疯子科学家RickSanchez在失踪20年之后突然回到女儿Beth的生活中，并且在她的车库中开了一个商店。更糟的是，Rick总是将他的孙子Morty和孙女Summer「拖」进他的疯狂实验。每当他发明一个充满科幻色彩的小玩意之后，Morty就会用他独特的方式给家中添一份乱。二人总是闯着不同的祸，有着啼笑皆非的结局和编剧无比巧妙的剧情安排。每看完一集总让人拍案叫好。该剧情内容充满奇妙的科幻素材，在各种不同的平行世界下祖孙二人闯出来的事件，看似荒诞可笑，实质上却充满了对人性和社会的思考。
26话/2004年5月19日/渡辺信一郎/Manglobe/中澤一登,混沌武士,这部作品不是爆款甚至冷门，但确实是伟大的艺术品。它是一部融入了嘻哈元素的公路动漫，放在江户时代的大背景中，展现了一副文化相互冲击之下喜怒哀乐的旅程画卷。天主教、涂鸦、嘻哈、棒球、枪炮与武士、浮世绘、花街、岛腔、刀剑格格不入，形成了鲜明的对比。在冲突...,26,サムライチャンプルー,32,8.5,4102,茶居屋里、代官的儿子和随从正在欺负客人，这时候进来一位全身充满野兽气息的流浪武士。在茶居屋工作的风被故意拌倒、茶泼到随从的身上，代官儿子正要砍掉风的手指的时候被无幻救下。另一方面、仁看不惯代官恶意欺压乡民，教训了代官一顿。其后仁在茶居屋碰到正在教训代官儿子的无幻，被无幻当作代官的手下高手而对打了起来。在一阵激烈的打斗后两人不分上下，这时茶居屋被人放火、无幻和仁在火中继续打斗直到失去意识。
10话/2014年4月4日/長濵博史/漆原友紀/馬越嘉彦,虫师 续章,1.14【籠のなか】决断2.12【香る闇】时间循环主人公进入有香味的洞穴，便能穿越到人生的某一节点，清除记忆，重新过活，于是不断循环地过一段人生。主人公的既视感越加严重，某次遇到银古后，他做出抉择，想看到那个从未见过的未来，从未见过的妻子的脸庞。可惜，那不是一个美...,10,蟲師 続章,34,8.5,2353,另一个世界，住着一群与常见动植物截然不同的生物。远古以来，人们敬畏地称它们为“虫”。当虫的世界和人的世界重合时，虫师银古便会出现。介绍中提到的虫显然不是看上去肉呼呼扭动的小东西，而是一种最接近生命本源，类似灵体的生物。它们有自己的生存方式，而这种方式却可能有悖于人类的常识，甚至危害人类的生存。于是就出现了“虫师”这种职业，他们云游四方，对虫的生命形态，生存方式进行研究，并接受人们的委托，解决可能是由虫引起的怪异事件。银古，正是他们的一员。银古出入穷乡僻壤去追寻虫的足迹。虫可能潜伏在人的身体中，潜伏在沼泽地中，潜伏在整个山岭中，带来疾病、瘟疫等可怕的灾难。银古总能找到结症，予以化解。
1999年10月20日/宇田鋼之介（1-278）、志水淳児（131-159）→境宗久（244-372）→宮元宏彰（352-679）→深澤敏則（663-891）、伊藤聡伺（780-782）→長峯達也（780-782、892-）、暮田公平、小牧文（892-）/尾田栄一郎（集英社「週刊少年ジャンプ」連載）/小泉昇（1-425）→久田和也（385-891）→松田翠（780-782、892-）,海贼王,bilibili.com/video/av82467294acfun.cn/v/ac12266191动漫：ONEPIECE【bgm.tv/subject/975】BGM：スタジオネネム-黄泉路行进曲pan.baidu.com/s/1Axf6_bSS4fZCrs5Oj3MHOw,未知,ONE PIECE,35,8.5,6357,传说中海贼王哥尔·D·罗杰在死前说出他留下了具有财富、名声、力量的宝藏「ONEPIECE」，许多人为了争夺ONEPIECE，争相出海，许多海贼开始树立霸权，而形成了大海贼时代。十年后，草帽小子蒙其·D·路飞为了要实现与因救他而断臂的海贼红发香克斯的约定而出海，在遥远的路途上找寻着志同道合的伙伴，一起进入「伟大的航道」，目标当上海贼王。
12话/2006年6月29日/長井龍雪/羽海野チカ/島村秀一,蜂蜜与四叶草II,今天在b站看spitz相关的视频，看到一个蜂蜜与四叶草TV动画的音乐全收录。所以补这部的时候应该就是我第一次听到spitz的歌，不过现在对他们在这里面的几首歌基本已经是毫无印象，于是回去回顾了一下。那个时候并没有第一时间成为他们的粉丝，不过现在的话，这些插曲每首...,12,ハチミツとクローバー II,36,8.5,2487,美大学生竹本、真山、森田在破旧不堪的公寓中过着贫困而快乐的生活。
24话/2005年4月14日/カサヰケンイチ/羽海野チカ/島村秀一,蜂蜜与四叶草,今天在b站看spitz相关的视频，看到一个蜂蜜与四叶草TV动画的音乐全收录。所以补这部的时候应该就是我第一次听到spitz的歌，不过现在对他们在这里面的几首歌基本已经是毫无印象，于是回去回顾了一下。那个时候并没有第一时间成为他们的粉丝，不过现在的话，这些插曲每首...,24,ハチミツとクローバー,37,8.5,3418,蜂蜜与四叶草讲述美大生─竹本裕太在贫穷与森田忍学长所带来的烦恼之中度过的大学生活。
1话/1986年8月2日/宮崎駿,天空之城,这其实是我为练习打字从《暢所欲言!押井守漫談吉卜力祕辛》（日文版书名为：誰も語らなかったジブリを語ろう）录入的一节内容。原书是押井守关于吉卜力工作室的各部电影的系列访谈集，日文版出版于2017年。押井守在本节比较保守，谈的东西不算特别多，都是围绕《天空之...,1,天空の城ラピュタ,38,8.5,5679,在过去的历史之中，传说着曾有人类以高科技创造了可飞行于天空的城市——拉普达。虽多数认为这是虚构幻想出来的事物，但仍有相信飞行城市存在而试图寻找出的人们。
11话/2013-12-02/JustinRoiland、DanHarmon,瑞克和莫蒂 第一季,在我看来，这部作品是对得住它的名声的。诸如剧情逻辑自洽之类的套话就不想写了，让我相当佩服的是，每一集作为相对独立的单元，它在同时展开两条故事线的时候依然能在快节奏的叙事中保持有条有理、主次分明，完全经得起观众的细究。每集除去（不妨叫做）op和ed共一分钟，剩下...,11,Rick and Morty Season 1,39,8.5,1306,天才兼疯子科学家Rick在失踪多年后突然回到女儿Beth的身边，并且在她的车库里搞了一个科学实验室。Rick有一把“传送门枪”，可以穿越到宇宙的各个次元。孙子Morty莫名其妙就成了他的助手，经常被拖进他的自制太空船内，跟他一同开展各种疯狂刺激的宇宙冒险。女儿女婿对他的疯狂行为感到不满，却又对这个天才科学家无可奈何。
10话/2016年10月7日/満仲勧/古舘春一（集英社「週刊少年ジャンプ」連載）,排球少年 乌野高校 VS 白鸟泽学园高校,我坚信，这辈子，绝对绝对，不会忘记《小排球》这部作品。开篇先无脑地点下这句话，肤浅与否毕竟和我后面的长篇大论并无瓜葛。现在回顾动画化的三个季度的《排球少年》，我还是确信第三季仅仅10集体量的白鸟乌野一战为最佳。所以我尽量将激昂的笔墨率先泼洒给这作之...,10,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,40,8.5,2069,第三季仍将继续春高赛，而乌野高校即将迎来地区赛的最终对手——白鸟泽学园高校。
1话/2008年7月12日/押井守,攻壳机动队2.0,写于2016-03-07很早（刚上大学那会儿？）就听说了大名鼎鼎的《攻壳机动队》，当时就从PT上下了下来，但是估计受到了画风的影响（90年代的画风以近年的视角来看很难说得上美型）没有看下去。今天有幸补了第一部剧场版的重置版，不得不赞叹这部作品观念之超前，之所以给出四星是...,1,GHOST IN THE SHELL / 攻殻機動隊2.0,41,8.5,1659,2008年7月12日(土)公開。監督押井守。全カットを完全リニューアルした21世紀版攻殻機動隊とも言える作品。人形使い役として、新たに榊原良子がキャスティングされた。
50话/1985年3月2日/富野由悠季/矢立肇/安彦良和,机动战士Z高达,"首先是UC纪元系列，所谓UC是指UniversalCentury，也就是宇宙世纪。常说的一年战争是指UC0079年-0080年联邦和吉恩之间持续了一年左右的战争。●高达0079（TV,1979年）UC0079年，这是初代高达，原名就叫“机动战士高达”，0079是国人为了和后来的高达相区别加上的。它还...",50,機動戦士Ζガンダム,42,8.5,1481,0084年，吉翁残党迪拉兹之乱终告完结，然而，联邦政府的统治仍呈现极不稳定的局面，尤其当联邦议会发布维持地球圈现状的政策决议后，反对派呼声日益高涨。虽然在加米托夫准将领导的提坦斯之铁腕下，地球圈尚未发生大规模冲突，但空气中的紧张气息已接近临界点。
11话/2010年4月22日/湯浅政明/森見登美彦/伊東伸高,四叠半神话大系,湯浅政明×森見登美彦的黄金组合，从有顶天开始看森见，之后是春宵苦短，第三作便是四叠半。实际上直到中期都没有怎么看懂，但是却有感同身受之感，值此疫情之际，又因为本身是大四毕业生，面临毕业和研究生复试的压力，回顾自己四年的大学生活，可以说非常感同身受了。前几次...,11,四畳半神話大系,43,8.5,5202,根据森见登美彦所著的小说「四叠半神话大系」改编的TV动画，将作为1月新番「交响情人梦Finale」的接档动画，从4月起在富士电视台的noitaminA栏目播放。作品以京都大学某三年级男生为主角，从四个平行世界的角度，描写当初在一年级时选择了不同社团的他，而经历了不同的大学生活。动画版将由近期出品了「小鸠」「青之文学」的MADHOUSE担当制作，以独特的视觉效果处理而为人熟知的创作人汤浅政明将出任本作监督，他还曾执导「兽爪」「海马」这两部动画，而为多部电视剧、电影、舞台剧撰写剧本的上田诚将负责本作的系列构成。另类的题材加上一班特色制作人员，相信本作又将为noitaminA播出的动画带来一番新景象了。
3话/2015年9月26日/佐藤順一/天野こずえ/音地正行,水星领航员 The AVVENIRE,感兴趣可以自行制作，附带模板一张aria,3,ARIA The AVVENIRE,45,8.5,662,TVアニメ放送10周年記念プロジェクト
12话/2011年1月7日/新房昭之/MagicaQuartet/岸田隆宏,魔法少女小圆,https://www.bilibili.com/read/cv6054727,12,魔法少女まどか☆マギカ,46,8.4,14079,出生良好家庭，亲朋好友团聚，时哭时笑，这是谁都拥有的日常生活。市立见泷原中学的平凡初二女生鹿目圆，就是其中一位。一天，一个不可思议的人出现在她眼前。不知是偶然抑或注定，可以肯定的是，这相遇改变了她的命运，一个新的魔法少女故事亦随即开始。
